certificate,runtime,genre,imdb_rating,meta_score,no_of_votes,gross,director_category,star1_category,star2_category,star3_category,star4_category,decade
all public,142,Drama,9.3,80.0,2343110,28341469.0,average,low,low,low,low,1990's
all public,175,Thriller/Crime/Mystery,9.2,100.0,1620367,134966411.0,high,average,average,low,average,1970's
family,152,Action/Adventure,9.0,84.0,2303232,534858444.0,high,high,average,low,high,2000's
all public,202,Thriller/Crime/Mystery,9.0,90.0,1129952,57300000.0,high,high,average,average,average,1970's
all public,96,Thriller/Crime/Mystery,9.0,96.0,689845,4360000.0,high,average,low,low,low,1950's
all public,201,Action/Adventure,8.9,94.0,1642758,377845905.0,high,average,average,low,average,2000's
all public,154,Thriller/Crime/Mystery,8.9,94.0,1826188,107928762.0,high,low,average,high,low,1990's
all public,195,Drama,8.9,94.0,1213505,96898818.0,high,average,low,low,low,1990's
family,148,Action/Adventure,8.8,74.0,2067042,292576195.0,high,high,average,low,low,2010's
all public,139,Drama,8.8,66.0,1854740,37030102.0,high,high,low,low,low,1990's
all public,178,Action/Adventure,8.8,92.0,1661481,315544750.0,high,average,high,average,low,2000's
family,142,Drama,8.8,82.0,1809221,330252182.0,high,high,average,low,low,1990's
all public,161,Other,8.8,90.0,688390,6100000.0,high,high,low,low,low,1960's
family,179,Action/Adventure,8.7,87.0,1485555,342551365.0,high,average,high,low,average,2000's
all public,136,Action/Adventure,8.7,73.0,1676426,171479930.0,low,low,low,low,low,1990's
all public,146,Drama,8.7,90.0,1020727,46836394.0,high,high,low,high,low,1990's
family,124,Action/Adventure,8.7,82.0,1159315,290475067.0,low,average,average,high,average,1980's
all public,133,Drama,8.7,83.0,918088,112000000.0,average,high,low,low,low,1970's
all public,132,Comedy,8.6,96.0,552778,53367844.0,average,average,low,low,low,2010's
family,169,Action/Adventure,8.6,74.0,1512360,188020017.0,high,average,low,low,low,2010's
all public,130,Thriller/Crime/Mystery,8.6,79.0,699256,7563397.0,low,low,low,low,low,2000's
all public,125,Other,8.6,96.0,651376,10055859.0,high,low,low,low,low,2000's
over 18,169,Drama,8.6,91.0,1235804,216540909.0,high,high,high,average,low,1990's
all public,189,Thriller/Crime/Mystery,8.6,61.0,1147794,136801374.0,average,high,low,average,low,1990's
all public,116,Comedy,8.6,59.0,623629,57598247.0,low,low,low,low,low,1990's
all public,127,Thriller/Crime/Mystery,8.6,65.0,1445096,100125643.0,high,average,high,low,low,1990's
all public,118,Thriller/Crime/Mystery,8.6,85.0,1270197,130742922.0,average,low,low,low,low,1990's
family,121,Action/Adventure,8.6,90.0,1231473,322740140.0,low,average,average,high,low,1970's
all public,207,Action/Adventure,8.6,98.0,315744,269061.0,average,low,low,low,low,1950's
all public,122,Thriller/Crime/Mystery,8.5,59.0,939252,335451311.0,average,average,average,low,low,2010's
all public,106,Drama,8.5,88.0,717585,13092000.0,average,low,low,low,average,2010's
